x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma
-3.5,-3.26666666667,-3.38333333333,0,nan,nan,nan,nan,nan,0,-1,0,0,nan,nan
-3.26666666667,-3.03333333333,-3.15,7066,0.000121632302892,3.75039478777e-05,0.00266601134001,4.22497542015e-05,2.25331866848,2,0,0,0,0.00542067295576,0.00230194785681
-3.03333333333,-2.8,-2.91666666667,14739,1.86976117308e-05,2.74413449844e-05,0.0027686142246,3.12451017096e-05,2.51769894518,2,0,0,0,0.00574064491802,0.00243782743832
-2.8,-2.56666666667,-2.68333333333,14921,0.000178102543376,2.66353654995e-05,0.00272479868322,3.02324401311e-05,3.0926370107,2,0,0,0,0.00472377347932,0.00200600189783
-2.56666666667,-2.33333333333,-2.45,14328,0.000133201892276,2.81991804592e-05,0.00279257129961,3.17603562762e-05,1.76721520332,2,0,0,0,0.00598195018342,0.00254030034954
-2.33333333333,-2.1,-2.21666666667,13890,0.000142443903775,3.10747287232e-05,0.00294120321794,3.65549355454e-05,1.43863630403,2,0,0,0,0.0059586833402,0.00253041983096
-2.1,-1.86666666667,-1.98333333333,13851,0.000124064296241,2.93480179897e-05,0.00283230715739,3.35244155081e-05,1.84033095227,2,0,0,0,0.00619002511417,0.00262866163693
-1.86666666667,-1.63333333333,-1.75,12976,0.000207145371851,3.54040054283e-05,0.00311460685166,4.2874426665e-05,1.12418778901,2,0,0,0,0.00630044261692,0.00267555163304
-1.63333333333,-1.4,-1.51666666667,12540,0.000179790737159,3.4413111012e-05,0.00303412247267,4.15576562206e-05,1.29666865812,2,0,0,0,0.00702291650969,0.00298235804668
-1.4,-1.16666666667,-1.28333333333,12516,0.000268320720915,3.94518169012e-05,0.00327641678342,5.03935279457e-05,1.24223968769,2,0,0,0,0.00728354150387,0.00309303529131
-1.16666666667,-0.933333333333,-1.05,12782,0.000302062623238,3.79255095065e-05,0.00322167780506,4.75024236025e-05,1.27425361828,2,0,0,0,0.006728250046,0.00285722472097
-0.933333333333,-0.7,-0.816666666667,11893,0.000248609104343,4.2934051306e-05,0.00339346271036,5.6913991881e-05,1.05934525325,2,0,0,0,0.00727777761511,0.00309058759312
-0.7,-0.466666666667,-0.583333333333,12206,0.000392363404248,4.29015899152e-05,0.0033984971032,5.63680588197e-05,1.54794454024,2,0,0,0,0.00682177182554,0.00289693976405
-0.466666666667,-0.233333333333,-0.35,11811,0.000422909130736,4.5947570959e-05,0.00348520810821,6.03397500572e-05,1.2116282268,2,0,0,0,0.00798499982152,0.0033909172119
-0.233333333333,0,-0.116666666667,10746,0.000360487920831,4.47827924822e-05,0.00335701182314,5.80534459025e-05,1.93570141562,2,0,0,0,0.00689329530047,0.00292731298729
0,0.233333333333,0.116666666667,12205,0.000340348159771,4.05610186153e-05,0.00330554438307,5.26008948332e-05,1.57851272362,2,0,0,0,0.00717307676275,0.00304612523491
0.233333333333,0.466666666667,0.35,10958,0.000391144616607,4.09979625353e-05,0.00321481924786,5.15206980167e-05,1.43854736809,2,0,0,0,0.00681454530223,0.00289387094215
0.466666666667,0.7,0.583333333333,11978,0.000258189558118,3.90488828413e-05,0.00322177923251,4.95378593768e-05,1.32952639135,2,0,0,0,0.00688863848467,0.0029253354197
0.7,0.933333333333,0.816666666667,11335,0.000252082396753,3.83236594122e-05,0.00313464491163,4.71149993276e-05,1.30865360443,2,0,0,0,0.0067567474873,0.00286932647004
0.933333333333,1.16666666667,1.05,13229,0.000205347309646,3.49563480077e-05,0.0031079788627,4.28015445371e-05,1.10659543112,2,0,0,0,0.00646433066359,0.00274514847847
1.16666666667,1.4,1.28333333333,12413,0.000156055543459,3.71006935083e-05,0.00316607320543,4.61130950035e-05,1.15370875278,2,0,0,0,0.00692063870662,0.00293892466276
1.4,1.63333333333,1.51666666667,14168,0.000128135946002,2.99888343843e-05,0.00289457714287,3.49875896723e-05,1.89494360575,2,0,0,0,0.00598862833837,0.00254313630083
1.63333333333,1.86666666667,1.75,12987,0.000110997815679,2.96421034809e-05,0.00279429970067,3.38801961607e-05,2.37875739211,2,0,0,0,0.00573117634249,0.00243380650452
1.86666666667,2.1,1.98333333333,13971,8.07985668565e-05,3.00771322446e-05,0.00288710425084,3.55423551316e-05,2.15431721259,2,0,0,0,0.0059247813361,0.00251602297538
2.1,2.33333333333,2.21666666667,14702,0.000105634896345,2.68082822248e-05,0.00272737298672,2.99719216886e-05,2.01604807218,2,0,0,0,0.00540197356347,0.00229400695605
2.33333333333,2.56666666667,2.45,14805,6.76820492063e-05,2.6194325748e-05,0.00269211566471,2.89073396312e-05,2.299302934,2,0,0,0,0.0050775860934,0.00215625228101
2.56666666667,2.8,2.68333333333,14747,0.000113181747977,2.71749292118e-05,0.00275444611113,3.03853341639e-05,1.87335669794,2,0,0,0,0.005935084137,0.00252039817208
2.8,3.03333333333,2.91666666667,15225,3.23283326251e-05,2.51321371626e-05,0.00264317573914,2.77883973952e-05,3.17189214924,2,0,0,0,0.00526385734841,0.00223535439983
3.03333333333,3.26666666667,3.15,7267,0.000108405427989,3.54477227226e-05,0.00259927637439,3.75306815548e-05,1.14011268359,2,0,0,0,0.00572739117633,0.00243219909245
3.26666666667,3.5,3.38333333333,0,nan,nan,nan,nan,nan,0,-1,0,0,nan,nan
