x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma
-3.5,-3.26666666667,-3.38333333333,0,nan,nan,nan,nan,nan,0,-1,0,0,nan,nan
-3.26666666667,-3.03333333333,-3.15,758,nan,nan,nan,nan,nan,0,-1,0,0,1.05564516129,0.448291224432
-3.03333333333,-2.8,-2.91666666667,1605,nan,nan,nan,nan,nan,0,-1,0,0,1.0372226199,0.440467891422
-2.8,-2.56666666667,-2.68333333333,1577,nan,nan,nan,nan,nan,0,-1,0,0,1.03631082062,0.440080685921
-2.56666666667,-2.33333333333,-2.45,1596,nan,nan,nan,nan,nan,0,-1,0,0,1.03459343795,0.439351380647
-2.33333333333,-2.1,-2.21666666667,1546,nan,nan,nan,nan,nan,0,-1,0,0,1.04016516517,0.441717475343
-2.1,-1.86666666667,-1.98333333333,1590,nan,nan,nan,nan,nan,0,-1,0,0,1.04057017544,0.441889467371
-1.86666666667,-1.63333333333,-1.75,1561,nan,nan,nan,nan,nan,0,-1,0,0,1.03015075377,0.437464746385
-1.63333333333,-1.4,-1.51666666667,1355,nan,nan,nan,nan,nan,0,-1,0,0,1.03829787234,0.440924509091
-1.4,-1.16666666667,-1.28333333333,1515,nan,nan,nan,nan,nan,0,-1,0,0,1.01578947368,0.431366072257
-1.16666666667,-0.933333333333,-1.05,1548,nan,nan,nan,nan,nan,0,-1,0,0,1.01398362892,0.430599200595
-0.933333333333,-0.7,-0.816666666667,1492,nan,nan,nan,nan,nan,0,-1,0,0,1.01604850214,0.431476071514
-0.7,-0.466666666667,-0.583333333333,1559,nan,nan,nan,nan,nan,0,-1,0,0,1.01175285426,0.429651877821
-0.466666666667,-0.233333333333,-0.35,1432,nan,nan,nan,nan,nan,0,-1,0,0,1.01401179941,0.4306111635
-0.233333333333,0,-0.116666666667,1298,nan,nan,nan,nan,nan,0,-1,0,0,1.01296596434,0.430167038239
0,0.233333333333,0.116666666667,1520,nan,nan,nan,nan,nan,0,-1,0,0,1.01352288488,0.430403540616
0.233333333333,0.466666666667,0.35,1341,nan,nan,nan,nan,nan,0,-1,0,0,1.02457002457,0.4350948289
0.466666666667,0.7,0.583333333333,1432,nan,nan,nan,nan,nan,0,-1,0,0,1.03824476651,0.44090195712
0.7,0.933333333333,0.816666666667,1365,nan,nan,nan,nan,nan,0,-1,0,0,1.02019002375,0.433234813811
0.933333333333,1.16666666667,1.05,1552,nan,nan,nan,nan,nan,0,-1,0,0,1.11882129278,0.475119657297
1.16666666667,1.4,1.28333333333,1536,3.24227136385,0.14849314927,0.456755970505,0.139510514894,nan,1,1,0,0,1.22789539228,0.521439162575
1.4,1.63333333333,1.51666666667,1594,nan,nan,nan,nan,nan,0,-1,0,0,1.10141093474,0.467726158983
1.63333333333,1.86666666667,1.75,1356,nan,nan,nan,nan,nan,0,-1,0,0,1.17587939698,0.499350003191
1.86666666667,2.1,1.98333333333,1476,nan,nan,nan,nan,nan,0,-1,0,0,1.12653061224,0.478393503842
2.1,2.33333333333,2.21666666667,1555,nan,nan,nan,nan,nan,0,-1,0,0,1.10373066424,0.468711257399
2.33333333333,2.56666666667,2.45,1602,nan,nan,nan,nan,nan,0,-1,0,0,1.07142857143,0.454993821589
2.56666666667,2.8,2.68333333333,1520,nan,nan,nan,nan,nan,0,-1,0,0,1.04874213836,0.445359780503
2.8,3.03333333333,2.91666666667,1511,nan,nan,nan,nan,nan,0,-1,0,0,1.04861660079,0.445306469604
3.03333333333,3.26666666667,3.15,727,nan,nan,nan,nan,nan,0,-1,0,0,1.03442879499,0.439281463222
3.26666666667,3.5,3.38333333333,0,nan,nan,nan,nan,nan,0,-1,0,0,nan,nan
